uuid,event,distinct_id,session_id,timestamp,properties,elements_chain
224a722091fb5754adab0a5a644ee161,$pageview,synthetic-user-cn-01,synthetic-session-cn-01,2026-08-05T01:00:00+00:00,"{""$current_url"":""https://www.just-eat.co.uk/"",""$pathname"":""/""}",
674b15f49b71503a8ac27b2fff858525,location_input_focused,synthetic-user-cn-01,synthetic-session-cn-01,2026-08-05T01:00:22+00:00,"{""visit_number"":1}",
309aa2bfb66c5c30a04e6b13019c9096,postcode_submitted,synthetic-user-cn-01,synthetic-session-cn-01,2026-08-05T01:00:45+00:00,"{""format"":""incomplete""}",
b1e0c20d101257dab1c265a915cdce33,validation_error_shown,synthetic-user-cn-01,synthetic-session-cn-01,2026-08-05T01:00:48+00:00,"{""error_type"":""invalid_postcode""}",
5d95e390617659a4ba49c3b875e30dd4,postcode_submitted,synthetic-user-cn-01,synthetic-session-cn-01,2026-08-05T01:01:12+00:00,"{""format"":""with_extra_text""}",
6f67d2a186905e0f910101361bf2014c,validation_error_shown,synthetic-user-cn-01,synthetic-session-cn-01,2026-08-05T01:01:15+00:00,"{""error_type"":""invalid_postcode""}",
471821f661ed57f098677c0213b05b1a,help_opened,synthetic-user-cn-01,synthetic-session-cn-01,2026-08-05T01:01:36+00:00,"{""topic"":""find_location""}",
e7cb3144f8b356bd918752c812acf2bb,postcode_submitted,synthetic-user-cn-01,synthetic-session-cn-01,2026-08-05T01:02:10+00:00,"{""postcode_area"":""urban""}",
4ae343fc3bf1546c84aaaf64b5dd3b89,$pageview,synthetic-user-cn-01,synthetic-session-cn-01,2026-08-05T01:02:18+00:00,"{""$current_url"":""https://www.just-eat.co.uk/area/ec1a-1bb"",""$pathname"":""/area/ec1a-1bb""}",
ca50b126240f532385454e1f8fc3820d,category_opened,synthetic-user-cn-01,synthetic-session-cn-01,2026-08-05T01:02:50+00:00,"{""category"":""Groceries""}",
7f5e4305ae5d5d7694c4ff8237fbd47c,back_navigation,synthetic-user-cn-01,synthetic-session-cn-01,2026-08-05T01:03:16+00:00,"{""reason"":""wrong_category""}",
82361577e8235aa2ab69c9c6d6e64f3a,restaurant_opened,synthetic-user-cn-01,synthetic-session-cn-01,2026-08-05T01:03:45+00:00,"{""list_position"":1}",
4d111fbeb23959baa012078e84a4f9ef,$pageview,synthetic-user-cn-01,synthetic-session-cn-01,2026-08-05T01:03:50+00:00,"{""$current_url"":""https://www.just-eat.co.uk/menu/example-restaurant"",""$pathname"":""/menu/example-restaurant""}",
9880b1a29a3b51189d1d3b336d4063b8,item_information_opened,synthetic-user-cn-01,synthetic-session-cn-01,2026-08-05T01:04:28+00:00,"{""item_type"":""meal""}",
4d6111614daf5b9b8b5c90a7eb1ed4f1,add_attempted,synthetic-user-cn-01,synthetic-session-cn-01,2026-08-05T01:05:10+00:00,"{""required_options_missing"":true}",
1b8bb7623fe35627bdd87a8ac92e69a6,validation_error_shown,synthetic-user-cn-01,synthetic-session-cn-01,2026-08-05T01:05:13+00:00,"{""error_type"":""required_option""}",
87d231d8165555bcb323199cf1073e90,session_abandoned,synthetic-user-cn-01,synthetic-session-cn-01,2026-08-05T01:05:45+00:00,"{""reason"":""confusing_flow""}",
8f94786bb40d5256b49b05dd3a5eb94b,$pageview,synthetic-user-cn-02,synthetic-session-cn-02,2026-08-06T01:00:00+00:00,"{""$current_url"":""https://www.just-eat.co.uk/"",""$pathname"":""/""}",
0298f9ec901359e98f995441c446260b,location_input_focused,synthetic-user-cn-02,synthetic-session-cn-02,2026-08-06T01:00:22+00:00,"{""visit_number"":1}",
a56dc06505455bc988afcd1c1b564aa8,postcode_submitted,synthetic-user-cn-02,synthetic-session-cn-02,2026-08-06T01:00:45+00:00,"{""format"":""incomplete""}",
9b055765a70c5c43b20f5ab46dd69c82,validation_error_shown,synthetic-user-cn-02,synthetic-session-cn-02,2026-08-06T01:00:48+00:00,"{""error_type"":""invalid_postcode""}",
a193b24ceca15809b50f1680f5088b3f,postcode_submitted,synthetic-user-cn-02,synthetic-session-cn-02,2026-08-06T01:01:12+00:00,"{""format"":""with_extra_text""}",
7deab0012f6756f8a2a58ccfd954a216,validation_error_shown,synthetic-user-cn-02,synthetic-session-cn-02,2026-08-06T01:01:15+00:00,"{""error_type"":""invalid_postcode""}",
ed5603a2587955e3a281c3f7567c08ab,help_opened,synthetic-user-cn-02,synthetic-session-cn-02,2026-08-06T01:01:36+00:00,"{""topic"":""find_location""}",
18e5d52ebcbd51839bf3d50bd6689f6c,postcode_submitted,synthetic-user-cn-02,synthetic-session-cn-02,2026-08-06T01:02:10+00:00,"{""postcode_area"":""urban""}",
bee72d91c124530b95d9d2b28b911371,$pageview,synthetic-user-cn-02,synthetic-session-cn-02,2026-08-06T01:02:18+00:00,"{""$current_url"":""https://www.just-eat.co.uk/area/ec1a-1bb"",""$pathname"":""/area/ec1a-1bb""}",
def0a9ddee355c459a8b6e4dfaae4a3f,category_opened,synthetic-user-cn-02,synthetic-session-cn-02,2026-08-06T01:02:50+00:00,"{""category"":""Groceries""}",
6485cf13ee0e539f8ca5243345df1454,back_navigation,synthetic-user-cn-02,synthetic-session-cn-02,2026-08-06T01:03:16+00:00,"{""reason"":""wrong_category""}",
3691776771605bef8b06e108d7c2ff74,restaurant_opened,synthetic-user-cn-02,synthetic-session-cn-02,2026-08-06T01:03:45+00:00,"{""list_position"":1}",
d462aebb53ae5f5187c5818f17f6ba12,$pageview,synthetic-user-cn-02,synthetic-session-cn-02,2026-08-06T01:03:50+00:00,"{""$current_url"":""https://www.just-eat.co.uk/menu/example-restaurant"",""$pathname"":""/menu/example-restaurant""}",
